AZ;Z_I;Z_II;S_I;S_II;ÖR_I;ÖR_II;WPF;Dur
0259/18;11,00;9,00;9,00;9,00;8,00;8,00;11,00;9,28
0260/18;8,00;6,00;5,00;5,00;6,00;8,00;8,00;6,57
0262/18;2,00;7,00;2,00;3,00;4,00;6,00;4,00;4,00
0263/18;8,00;8,00;8,00;10,00;14,00;10,00;16,00;10,57
0264/18;4,00;3,00;8,00;8,00;7,00;6,00;4,00;5,71
0265/18;4,00;4,00;7,00;5,00;9,00;8,00;5,00;6,00
0266/18;9,00;11,00;10,00;13,00;10,00;11,00;7,00;10,14
0267/18;2,00;2,00;5,00;3,00;3,00;3,00;3,00;3,00
0268/18;6,00;3,00;9,00;11,00;4,00;5,00;6,00;6,28
0269/18;2,00;1,00;6,00;3,00;2,00;1,00;2,00;2,42
0270/18;10,00;6,00;5,00;4,00;3,00;6,00;3,00;5,28
0272/18;8,00;10,00;9,00;9,00;6,00;3,00;6,00;7,28
0273/18;5,00;9,00;8,00;4,00;6,00;5,00;3,00;5,71
0274/18;12,00;10,00;10,00;10,00;9,00;6,00;9,00;9,42
0275/18;5,00;2,00;2,00;1,00;4,00;4,00;3,00;3,00
0276/18;8,00;5,00;2,00;4,00;8,00;2,00;5,00;4,85
0277/18;4,00;8,00;4,00;4,00;4,00;3,00;3,00;4,28
0278/18;3,00;4,00;4,00;4,00;6,00;11,00;5,00;5,28
0279/18;5,00;7,00;8,00;8,00;6,00;8,00;6,00;6,85
0280/18;6,00;8,00;7,00;6,00;9,00;5,00;5,00;6,57
0281/18;6,00;7,00;2,00;2,00;7,00;10,00;4,00;5,42
0282/18;11,00;11,00;6,00;9,00;8,00;4,00;6,00;7,85
0283/18;6,00;6,00;14,00;13,00;8,00;6,00;9,00;8,85
