AZ;Z I;Z II;S I;S II;OR I;OR II;WPF;Dur
1140/17;4,00;1,00;4,00;3,00;4,00;2,00;6,00;3,42
1128/17;2,00;3,50;6,00;3,00;5,00;2,00;2,00;3,35
0713/17;6,00;3,00;4,00;1,00;2,00;4,00;3,00;3,28
1072/17;4,00;2,00;3,00;2,00;5,00;5,00;2,00;3,28
1005/17;2,00;3,00;1,00;5,00;5,00;2,00;4,00;3,14
1074/17;2,00;4,00;3,00;4,00;3,00;2,00;4,00;3,14
0830/17;3,00;4,00;3,00;2,00;4,00;2,00;3,00;3,00
0905/17;2,00;3,00;4,00;3,00;4,00;3,00;2,00;3,00
0912/17;3,00;2,00;3,00;4,00;2,00;4,00;3,00;3,00
0932/17;5,00;5,00;3,00;2,00;2,00;2,00;2,00;3,00
0979/17;6,00;3,00;3,00;3,00;2,00;2,00;2,00;3,00
0620/17;4,00;2,00;1,00;1,00;4,00;6,00;2,00;2,85
0634/16;3,00;2,00;2,00;2,00;4,00;4,00;3,00;2,85
0943/17;4,00;3,00;3,00;2,00;2,00;2,00;4,00;2,85
1040/17;2,00;4,00;1,00;5,00;2,00;2,00;4,00;2,85
1117/17;2,00;4,00;4,00;4,00;2,00;1,00;3,00;2,85
1138/17;2,00;4,00;2,00;3,00;3,00;3,00;3,00;2,85
1143/17;2,00;4,00;2,00;3,00;2,00;3,00;4,00;2,85
1087/17;1,50;3,00;3,00;2,00;2,00;4,00;4,00;2,78
0928/17;2,00;4,00;1,00;2,00;2,00;5,00;3,00;2,71
0931/17;2,00;5,00;3,00;1,00;4,00;2,00;2,00;2,71
1105/17;3,00;2,00;6,00;3,00;2,00;2,00;1,00;2,71
1132/17;1,00;2,00;3,00;3,00;2,00;5,00;3,00;2,71
1075/17;5,00;1,00;2,00;2,00;3,00;2,00;3,00;2,57
1002/17;2,00;2,00;2,00;1,00;2,00;2,00;3,00;2,00
0916/17;2,00;1,00;1,00;2,00;2,00;2,00;2,00;1,71
1070/17;2,00;1,00;1,00;2,00;2,00;1,00;1,00;1,42
